LOCATIONS	Type	Area	Street	Position	SpeedZone_Radius	SpeedZone_Speed	Region	Dispatchmessage	Music
3	COP	Model.Ped1	7.199f	-1293.762f, 5258.086f, 52.278f	amb@world_human_cop_idles@male@idle_a	idle_a	Loop	1	
3	COP	Model.Ped2	275.440f	-1285.550f, 5267.719f, 51.595f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	2	
3	CIVILIAN	a_m_y_indian_01	237.264f	-1293.895f, 5259.494f, 52.221f	friends@frt@ig_1	trevor_impatient_wait_4	Loop	3	
3	CIVILIAN	s_m_m_trucker_01	 344.882f	-1300.590f, 5255.784f, 52.698f	amb@world_human_guard_patrol@male@idle_b	idle_e	Loop	4	
3	MEDIC	Model.Ped3	72.873f	-1292.280f, 5258.943f, 52.168f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	5	
4	COP	Model.Ped1	114.838f	1204.078f, 1317.481f, 144.922f	missheist_agency3aig_24	agent01_conversation	Loop	1	
4	COP	Model.Ped2	182.015f	1212.726f, 1311.980f, 144.223f	amb@world_human_cop_idles@male@idle_a	idle_a	Loop	2	
4	CIVILIAN	a_m_m_malibu_01	286.359f	1203.031f, 1316.959f, 145.020f	missmic_4premierejimwaitbef_prem	wait_idle_b	Loop	3	
4	CIVILIAN	a_f_m_bevhills_01	66.182f	1232.041f, 1309.477f, 143.741f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	4	
4	CIVILIAN	u_m_y_cyclist_01	44.732f	1212.212f, 1308.882f, 144.207f	missheistfbi3b_ig8_2	cpr_loop_victim	Loop	5	
4	MEDIC	Model.Ped3	316.921f	1212.079f, 1308.352f, 144.215f	missheistfbi3b_ig8_2	cpr_loop_paramedic	Loop	6	
4	MEDIC	Model.Ped3	116.964f	1213.333f, 1308.708f, 144.122f	mini@cpr@char_a@cpr_str	cpr_kol_idle	Loop	7	
4	MEDIC	Model.Ped3	191.010f	1212.071f, 1310.278f, 144.228f	amb@medic@standing@kneel@idle_a	idle_b	Loop	8	
4	COP	Model.Ped4	15.699f	1216.588f, 1294.832f, 143.495f	missbigscore2aig_3	wait_for_van_c	Loop	9	
5	COP	Model.Ped1	307.651f	-221.438f, 3882.257f, 37.604f	missheist_agency3aig_24	agent01_conversation	Loop	1	
5	COP	Model.Ped2	182.015f	-238.790f, 3861.241f, 33.330f	amb@world_human_cop_idles@male@idle_a	idle_a	Loop	2	
5	CIVILIAN	a_m_y_downtown_01	104.445f	-220.274f, 3883.289f, 37.469f	missmic_4premierejimwaitbef_prem	wait_idle_b	Loop	3	
5	CIVILIAN	a_f_m_ktown_01	164.291f	-235.399f, 3873.515f, 37.226f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	4	
5	CIVILIAN	a_m_y_motox_01	172.926f	-235.640f, 3857.292f, 32.700f	missheistfbi3b_ig8_2	cpr_loop_victim	Loop	5	
5	MEDIC	Model.Ped3	81.120f	-234.889f, 3857.426f, 32.612f	missheistfbi3b_ig8_2	cpr_loop_paramedic	Loop	6	
5	MEDIC	Model.Ped3	112.678f	-234.884f, 3858.355f, 32.464f	mini@cpr@char_a@cpr_str	cpr_kol_idle	Loop	7	
5	MEDIC	Model.Ped3	325.482f	-236.297f, 3855.736f, 32.498f	amb@medic@standing@kneel@idle_a	idle_b	Loop	8	
5	COP	Model.Ped4	208.101f	-249.378f, 3880.697f, 39.830f	missbigscore2aig_3	wait_for_van_c	Loop	9	
6	COP	Model.Ped1	201.035f	-1291.771f, 4616.263f, 120.495f	missheist_agency3aig_24	agent01_conversation	Loop	1	
6	COP	Model.Ped2	238.811f	-1282.680f, 4609.482f, 122.673f	amb@world_human_cop_idles@male@idle_a	idle_a	Loop	2	
6	CIVILIAN	s_m_y_construct_01	84.842f	-1272.138f, 4606.448f, 125.035f	missmic_4premierejimwaitbef_prem	wait_idle_b	Loop	3	
6	CIVILIAN	s_m_y_construct_02	98.471f	-1272.063f, 4607.672f, 125.039f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	4	
6	CIVILIAN	a_m_y_dhill_01	171.093f	-1278.969f, 4606.341f, 123.613f	missheistfbi3b_ig8_2	cpr_loop_victim	Loop	5	
6	MEDIC	Model.Ped3	268.178f	-1279.491f, 4606.726f, 123.491f	missheistfbi3b_ig8_2	cpr_loop_paramedic	Loop	6	
6	MEDIC	Model.Ped3	220.507f	-1279.054f, 4607.395f, 123.475f	mini@cpr@char_a@cpr_str	cpr_kol_idle	Loop	7	
6	MEDIC	Model.Ped3	72.509f	-1277.918f, 4606.016f, 123.837f	amb@medic@standing@kneel@idle_a	idle_b	Loop	8	
6	COP	Model.Ped4	257.246f	-1293.051f, 4615.092f, 120.096f	missbigscore2aig_3	wait_for_van_c	Loop	9	
7	COP	Model.Ped1	175.786f	-2019.386f, 1925.350f, 186.261f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	1	
7	COP	Model.Ped2	354.733f	-2018.811f, 1949.172f, 173.838f	amb@world_human_guard_patrol@male@idle_b	idle_e	Loop	2	
7	CIVILIAN	s_m_m_hairdress_01	101.643f	-2013.544f, 1926.649f, 185.797f	amb@world_human_stupor@male@idle_a	idle_a	Loop	3	
7	CIVILIAN	a_f_y_bevhills_04	251.113f	-2025.760f, 1928.252f, 186.045f	mini@hookers_spvanilla	idle_wait	Loop	4	
7	CIVILIAN	s_m_y_garbage	294.281f	-2029.477f, 1946.693f, 179.308f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	5	
7	MEDIC	Model.Ped3	16.158f	-2044.184f, 1945.188f, 187.254f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	6	
7	MEDIC	Model.Ped3	29.219f	-2013.375f, 1925.699f, 185.922f	amb@medic@standing@kneel@idle_a	idle_b	Loop	7	
7	FIREMAN	Model.Ped4	273.578f	-2029.136f, 1948.219f, 179.179f	missfbi_s4mop	guard_idle_a	Loop	8	
7	FIREMAN	Model.Ped4	190.180f	-2044.264f, 1946.008f, 187.360f	missfbi3_party_d	stand_talk_loop_b_male2	Loop	9	
8	COP	Model.Ped1	29.103f	3011.251f, 3386.991f, 73.559f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	1	
8	COP	Model.Ped2	309.816f	3021.733f, 3368.067f, 74.887f	amb@world_human_guard_patrol@male@idle_b	idle_e	Loop	2	
8	CIVILIAN	u_f_y_comjane	65.111f	3024.616f, 3373.269f, 74.888f	amb@world_human_stupor@male@idle_a	idle_a	Loop	3	
8	CIVILIAN	s_m_m_chemsec_01	156.232f	3011.987f, 3380.560f, 73.836f	amb@world_human_stand_guard@male@base	base	Loop	4	
8	CIVILIAN	s_m_m_trucker_01	236.486f	3017.656f, 3374.783f, 74.374f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	5	
8	MEDIC	Model.Ped3	309.557f	3010.960f, 3379.623f, 73.883f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	6	
8	MEDIC	Model.Ped3	327.989f	3023.985f, 3372.323f, 74.865f	amb@medic@standing@kneel@idle_a	idle_b	Loop	7	
8	FIREMAN	Model.Ped4	261.262f	3017.045f, 3373.650f, 74.439f	missfbi_s4mop	guard_idle_a	Loop	8	
8	FIREMAN	Model.Ped4	359.973f	3012.075f, 3379.056f, 73.946f	missfbi3_party_d	stand_talk_loop_b_male2	Loop	9	
9	COP	Model.Ped1	88.574f	-2060.425f, 4452.528f, 58.249f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	1	
9	COP	Model.Ped2	190.201f	-2038.521f, 4463.636f, 57.309f	amb@world_human_guard_patrol@male@idle_b	idle_e	Loop	2	
9	CIVILIAN	a_m_y_eastsa_01	135.727f	-2043.423f, 4463.065f, 57.479f	amb@world_human_stupor@male@idle_a	idle_a	Loop	3	
9	CIVILIAN	a_m_m_business_01	254.275f	-2066.818f, 4461.703f, 58.524f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	4	
9	CIVILIAN	s_m_m_trucker_01	10.977f	-2037.682f, 4459.802f, 57.253f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	5	
9	MEDIC	Model.Ped3	213.936f	-2043.973f, 4463.666f, 57.488f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	6	
9	MEDIC	Model.Ped3	343.107f	-2043.842f, 4461.840f, 57.502f	amb@medic@standing@kneel@idle_a	idle_b	Loop	7	
9	FIREMAN	Model.Ped4	2.539f	-2061.173f, 4451.427f, 58.298f	missfbi_s4mop	guard_idle_a	Loop	8	
9	FIREMAN	Model.Ped4	68.000f	-2036.810f, 4460.365f, 57.271f	missfbi3_party_d	stand_talk_loop_b_male2	Loop	9	
10	COP	Model.Ped1	2.450f	1899.544f, -1286.181f, 129.992f	missheist_agency3aig_24	agent01_conversation	Loop	1	
10	COP	Model.Ped2	197.247f	1914.843f, -1303.829f, 132.613f	amb@world_human_cop_idles@female@idle_a	idle_c	Loop	2	
10	CIVILIAN	s_m_m_gaffer_01	188.900f	1899.125f, -1284.800f, 129.768f	missmic_4premierejimwaitbef_prem	wait_idle_b	Loop	3	
10	MEDIC	Model.Ped3	37.861f	1908.185f, -1240.848f, 122.851f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	4	
10	FIREMAN	Model.Ped4	332.846f	1912.811f, -1253.557f, 125.852f	amb@code_human_police_investigate@idle_b	idle_f	Loop	5	
10	FIREMAN	Model.Ped4	220.724f	1915.884f, -1243.342f, 124.570f	amb@world_human_guard_patrol@male@idle_b	idle_e	Loop	6	
10	FIREMAN	Model.Ped4	47.740f	1910.844f, -1264.521f, 127.174f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	7	
11	COP	Model.Ped1	271.738f	-967.705f, 2746.983f, 25.430f	missheist_agency3aig_24	agent01_conversation	Loop	1	
11	COP	Model.Ped2	256.132f	-955.957f, 2760.349f, 25.441f	amb@world_human_cop_idles@female@idle_a	idle_c	Loop	2	
11	CIVILIAN	s_m_m_gaffer_01	92.619f	-966.272f, 2747.096f, 25.435f	missmic_4premierejimwaitbef_prem	wait_idle_b	Loop	3	
11	MEDIC	Model.Ped3	26.750f	-985.295f, 2756.408f, 25.223f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	4	
11	FIREMAN	Model.Ped4	77.311f	-977.856f, 2764.493f, 25.223f	amb@code_human_police_investigate@idle_b	idle_f	Loop	5	
11	FIREMAN	Model.Ped4	1.578f	-989.375f, 2762.535f, 24.430f	amb@world_human_guard_patrol@male@idle_b	idle_e	Loop	6	
11	FIREMAN	Model.Ped4	141.563f	-980.000f, 2768.768f, 24.193f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	7	
12	COP	Model.Ped1	86.023f	-814.402f, 5265.119f, 87.988f	missheist_agency3aig_24	agent01_conversation	Loop	1	
12	COP	Model.Ped2	326.637f	-846.794f, 5265.902f, 86.694f	amb@world_human_cop_idles@female@idle_a	idle_c	Loop	2	
12	CIVILIAN	s_m_y_construct_02	253.527f	-815.892f, 5265.535f, 87.934f	missmic_4premierejimwaitbef_prem	wait_idle_b	Loop	3	
12	MEDIC	Model.Ped3	72.551f	-821.031f, 5263.485f, 87.717f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	4	
12	FIREMAN	Model.Ped4	241.283f	-843.735f, 5275.688f, 77.264f	amb@code_human_police_investigate@idle_b	idle_f	Loop	5	
12	FIREMAN	Model.Ped4	190.855f	-837.199f, 5277.416f, 78.891f	amb@world_human_guard_patrol@male@idle_b	idle_e	Loop	6	
12	FIREMAN	Model.Ped4	188.637f	-841.179f, 5278.418f, 76.899f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	7	
13	COP	Model.Ped1	355.067f	1802.023f, -838.791f, 74.501f	missheist_agency3aig_24	agent01_conversation	Loop	1	
13	COP	Model.Ped2	130.733f	1783.484f, -850.578f, 73.112f	missheist_agency2aig_1	direct_traffic_a	Loop	2	
13	COP	Model.Ped3	329.200f	1816.196f, -844.985f, 74.978f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	3	
13	CIVILIAN	a_m_m_eastsa_02	168.912f	1812.726f, -830.722f, 75.360f	misscarsteal3	racer_argue_01_a	Loop	4	
13	CIVILIAN	s_f_y_sweatshop_01	169.445f	1802.269f, -836.781f, 74.501f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_c	Loop	5	
13	CIVILIAN	s_m_y_strvend_01	158.342f	1816.877f, -843.788f, 74.987f	missfbi3_party_d	stand_talk_loop_a_male1	Loop	6	
13	CIVILIAN	s_m_y_dockwork_01	165.076f	1814.224f, -826.630f, 75.509f	amb@medic@standing@kneel@idle_a	idle_a	Loop	7	
13	CIVILIAN	s_m_m_dockwork_01	37.157f	1803.564f, -850.751f, 74.052f	missmic2@enemy	smoking_loop	Loop	8	
13	MEDIC	Model.Ped4	297.624f	1798.295f, -840.991f, 74.207f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	9	
13	MEDIC	Model.Ped4	299.376f	1812.120f, -832.190f, 75.319f	missbigscore2aig_3	wait_for_van_c	Loop	10	
13	MEDIC	Model.Ped4	319.331f	1826.737f, -819.553f, 76.554f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	11	
13	FIREMAN	Model.Ped5	118.253f	1799.496f, -840.309f, 74.302f	missfbi3_party_d	stand_talk_loop_b_male2	Loop	12	
13	FIREMAN	Model.Ped5	39.784f	1813.372f, -832.104f, 75.409f	amb@code_human_police_investigate@idle_b	idle_f	Loop	13	
13	FIREMAN	Model.Ped5	73.266f	1816.777f, -829.963f, 75.680f	missfbi_s4mop	guard_idle_a	Loop	14	
14	COP	Model.Ped1	36.047f	2519.739f, 5509.815f, 44.680f	missheist_agency3aig_24	agent01_conversation	Loop	1	
14	COP	Model.Ped2	210.891f	2524.369f, 5493.109f, 44.622f	missheist_agency2aig_1	direct_traffic_b	Loop	2	
14	COP	Model.Ped3	42.714f	2491.518f, 5540.463f, 44.751f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	3	
14	CIVILIAN	a_m_m_eastsa_02	140.688f	2513.784f, 5524.726f, 44.718f	misscarsteal3	racer_argue_01_a	Loop	4	
14	CIVILIAN	s_f_y_sweatshop_01	220.101f	2518.532f, 5511.224f, 44.678f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_c	Loop	5	
14	CIVILIAN	s_m_y_strvend_01	211.410f	2501.609f, 5519.229f, 44.636f	missfbi3_party_d	stand_talk_loop_a_male1	Loop	6	
14	CIVILIAN	s_m_y_dockwork_01	239.571f	2506.589f, 5523.658f, 44.707f	amb@medic@standing@kneel@idle_a	idle_a	Loop	7	
14	CIVILIAN	s_m_m_dockwork_01	142.712f	2526.825f, 5527.298f, 44.663f	missmic2@enemy	smoking_loop	Loop	8	
14	MEDIC	Model.Ped4	339.308f	2513.207f, 5523.220f, 44.704f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	9	
14	MEDIC	Model.Ped4	7.828f	2517.471f, 5514.229f, 44.687f	missbigscore2aig_3	wait_for_van_c	Loop	10	
14	MEDIC	Model.Ped4	204.957f	2505.178f, 5540.857f, 44.750f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	11	
14	FIREMAN	Model.Ped5	7.178f	2505.342f, 5539.651f, 44.745f	missfbi3_party_d	stand_talk_loop_b_male2	Loop	12	
14	FIREMAN	Model.Ped5	31.394f	2502.487f, 5517.872f, 44.643f	amb@code_human_police_investigate@idle_b	idle_f	Loop	13	
14	FIREMAN	Model.Ped5	191.833f	2517.201f, 5515.741f, 44.694f	missfbi_s4mop	guard_idle_a	Loop	14	
15	COP	Model.Ped1	109.052f	-481.921f, -507.975f, 25.240f	missheist_agency3aig_24	agent01_conversation	Loop	1	
15	COP	Model.Ped2	278.669f	-466.122f, -506.249f, 25.297f	missheist_agency2aig_1	direct_traffic_c	Loop	2	
15	COP	Model.Ped3	68.883f	-497.564f, -503.545f, 25.323f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	3	
15	CIVILIAN	g_m_y_ballasout_01	73.470f	-492.038f, -509.855f, 25.178f	misscarsteal3	racer_argue_01_a	Loop	4	
15	CIVILIAN	a_f_y_business_01	312.475f	-483.343f, -508.941f, 25.208f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_c	Loop	5	
15	CIVILIAN	a_m_m_prolhost_01	249.949f	-499.148f, -502.606f, 25.323f	missfbi3_party_d	stand_talk_loop_a_male1	Loop	6	
15	CIVILIAN	s_m_y_dockwork_01	242.674f	-497.091f, -511.143f, 25.139f	amb@medic@standing@kneel@idle_a	idle_a	Loop	7	
15	CIVILIAN	s_m_m_dockwork_01	261.913f	-488.322f, -511.814f, 25.123f	missmic2@enemy	smoking_loop	Loop	8	
15	MEDIC	Model.Ped4	15.182f	-482.000f, -508.991f, 25.206f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	9	
15	MEDIC	Model.Ped4	232.883f	-493.649f, -508.698f, 25.216f	missbigscore2aig_3	wait_for_van_c	Loop	10	
15	MEDIC	Model.Ped4	256.470f	-502.939f, -508.109f, 25.235f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	11	
15	FIREMAN	Model.Ped5	213.073f	-482.541f, -507.815f, 25.245f	missfbi3_party_d	stand_talk_loop_b_male2	Loop	12	
15	FIREMAN	Model.Ped5	282.008f	-493.308f, -509.993f, 25.173f	amb@code_human_police_investigate@idle_b	idle_f	Loop	13	
15	FIREMAN	Model.Ped5	236.253f	-487.674f, -510.800f, 25.146f	missfbi_s4mop	guard_idle_a	Loop	14	
16	COP	Model.Ped1	136.961f	942.029f, 6521.069f, 18.851f	missheist_agency3aig_24	agent01_conversation	Loop	1	
16	COP	Model.Ped2	261.237f	986.322f, 6495.624f, 20.987f	amb@code_human_police_crowd_control@idle_a	idle_a	Loop	2	
16	COP	Model.Ped3	121.511f	935.589f, 6495.197f, 21.125f	amb@world_human_cop_idles@male@idle_b	idle_d	Loop	3	
16	CIVILIAN	a_m_y_beachvesp_02	351.793f	941.026f, 6520.223f, 18.868f	misscarsteal3	racer_argue_01_a	Loop	4	
16	CIVILIAN	u_f_y_comjane	171.736f	947.529f, 6504.476f, 21.073f	amb@world_human_stand_impatient@female@no_sign@idle_a	idle_c	Loop	5	
16	CIVILIAN	u_m_o_taphillbilly	298.579f	934.069f, 6494.307f, 21.132f	missfbi3_party_d	stand_talk_loop_a_male1	Loop	6	
16	CIVILIAN	s_m_y_dockwork_01	307.480f	941.506f, 6531.092f, 17.847f	amb@medic@standing@kneel@idle_a	idle_a	Loop	7	
16	CIVILIAN	s_m_m_dockwork_01	37.936f	968.497f, 6497.731f, 21.016f	missmic2@enemy	smoking_loop	Loop	8	
16	MEDIC	Model.Ped4	321.095f	946.707f, 6503.089f, 21.089f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	9	
16	MEDIC	Model.Ped4	223.176f	939.801f, 6521.517f, 18.881f	missbigscore2aig_3	wait_for_van_c	Loop	10	
16	MEDIC	Model.Ped4	336.603f	931.115f, 6504.478f, 21.135f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	11	
16	FIREMAN	Model.Ped5	106.773f	932.536f, 6505.038f, 21.143f	missfbi3_party_d	stand_talk_loop_b_male2	Loop	12	
16	FIREMAN	Model.Ped5	108.702f	940.505f, 6521.731f, 18.898f	amb@code_human_police_investigate@idle_b	idle_f	Loop	13	
16	FIREMAN	Model.Ped5	352.787f	943.426f, 6530.157f, 18.029f	missfbi_s4mop	guard_idle_a	Loop	14	
17	COP	Model.Ped1	312.822f	-1463.149f, -1492.240f, 1.950f	rcmnigel1a	stop	Loop	1	
17	COP	Model.Ped2	297.238f	-1465.749f, -1486.366f, 2.119f	amb@code_human_police_crowd_control@idle_a	idle_b	Loop	2	
17	MEDIC	Model.Ped3	220.117f	-1472.865f, -1489.028f, 1.887f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	3	
17	MEDIC	Model.Ped3	251.737f	-1469.333f, -1496.855f, 1.568f	amb@medic@standing@kneel@idle_a	idle_b	Loop	4	
17	LIFEGUARD	Model.Ped4	135.303f	-1467.284f, -1496.907f, 1.615f	missheistfbi3b_ig8_2	cpr_loop_paramedic	Loop	5	
17	LIFEGUARD	Model.Ped5	9.677f	-1467.292f, -1498.046f, 1.556f	mini@cpr@char_a@cpr_str	cpr_kol	Loop	6	
17	CIVILIAN	a_m_y_surfer_01	41.107f	-1467.893f, -1497.106f, 1.590f	missheistfbi3b_ig8_2	cpr_loop_victim	Loop	7	
17	CIVILIAN	a_m_m_beach_02	149.623f	-1465.390f, -1483.716f, 2.145f			Loop	8	
17	CIVILIAN	a_f_m_beach_01	147.280f	-1463.935f, -1486.130f, 2.131f			Loop	9	
17	CIVILIAN	a_f_y_beach_01	124.484f	-1461.344f, -1489.882f, 2.078f			Loop	10	
17	CIVILIAN	a_m_m_beach_01	116.920f	-1459.970f, -1492.092f, 2.025f			Loop	11	
17	CIVILIAN	a_m_o_beach_01	152.253f	-1464.090f, -1484.451f, 2.144f			Loop	12	
17	CIVILIAN	a_f_m_beach_01	151.926f	-1462.800f, -1487.491f, 2.125f			Loop	13	
17	CIVILIAN	a_f_y_beach_01	146.163f	-1461.323f, -1488.213f, 2.126f			Loop	14	
17	CIVILIAN	a_m_y_beach_03	129.842f	-1460.766f, -1491.386f, 2.035f			Loop	15	
17	CIVILIAN	a_m_y_beach_03	119.287f	-1460.065f, -1493.355f, 1.972f			Loop	16	
17	WITNESS	a_f_y_tourist_01	216.191f	-1783.165f, -1199.729f, 13.017f	amb@code_human_police_crowd_control@idle_a	idle_b	Loop	17	
17	WITNESS	a_f_y_tourist_01	201.801f	-1254.212f, -1904.781f, 5.863f	amb@code_human_police_crowd_control@idle_a	idle_b	Loop	18	
17	WITNESS	a_f_y_tourist_01	193.073f	-1675.625f, -1171.587f, 13.017f	amb@code_human_police_crowd_control@idle_a	idle_b	Loop	19	
17	WITNESS	a_f_y_tourist_01	50.958f	-1740.568f, -1102.670f, 13.017f	amb@code_human_police_crowd_control@idle_a	idle_b	Loop	20	
17	WITNESS	a_f_y_tourist_01	52.155f	-1846.002f, -1173.469f, 13.017f	amb@code_human_police_crowd_control@idle_a	idle_b	Loop	21	
17	WITNESS	a_f_y_tourist_01	155.461f	-1849.602f, -1250.102f, 8.616f	amb@code_human_police_crowd_control@idle_a	idle_b	Loop	22	
18	COP	Model.Ped1	17.710f	1274.629f, -2722.163f, 2.148f	rcmnigel1a	stop	Loop	1	
18	COP	Model.Ped2	37.769f	1266.767f, -2724.749f, 1.984f	amb@code_human_police_crowd_control@idle_a	idle_b	Loop	2	
18	MEDIC	Model.Ped3	210.175f	1269.823f, -2727.625f, 2.028f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	3	
18	MEDIC	Model.Ped3	351.441f	1272.213f, -2731.932f, 2.033f	amb@medic@standing@kneel@idle_a	idle_b	Loop	4	
18	LIFEGUARD	Model.Ped4	221.339f	1272.043f, -2730.370f, 2.112f	missheistfbi3b_ig8_2	cpr_loop_paramedic	Loop	5	
18	LIFEGUARD	Model.Ped5	161.654f	1273.091f, -2729.893f, 2.078f	mini@cpr@char_a@cpr_str	cpr_kol	Loop	6	
18	CIVILIAN	a_m_y_surfer_01	113.175f	1272.253f, -2730.773f, 2.130f	missheistfbi3b_ig8_2	cpr_loop_victim	Loop	7	
18	CIVILIAN	a_m_m_beach_02	208.367f	1266.940f, -2722.531f, 2.072f			Loop	8	
18	CIVILIAN	a_f_m_beach_01	214.328f	1265.886f, -2723.347f, 2.010f			Loop	9	
18	CIVILIAN	a_f_y_yoga_01	230.171f	1264.719f, -2724.260f, 2.104f			Loop	10	
18	CIVILIAN	a_m_y_yoga_01	219.611f	1265.589f, -2722.501f, 2.131f			Loop	11	
18	CIVILIAN	a_m_y_runner_01	161.147f	1275.973f, -2719.987f, 2.214f			Loop	12	
18	CIVILIAN	a_f_m_beach_01	187.381f	1274.750f, -2719.916f, 2.220f			Loop	13	
18	CIVILIAN	a_f_y_runner_01	207.004f	1273.467f, -2720.441f, 2.188f			Loop	14	
18	CIVILIAN	a_m_y_beach_03	212.635f	1272.244f, -2721.139f, 2.151f			Loop	15	
18	CIVILIAN	a_m_y_beach_03	109.700f	1281.195f, -2724.900f, 2.108f			Loop	16	
18	WITNESS	s_m_m_dockwork_01	23.647f	1250.628f, -2895.162f, 9.319f	missheistdockssetup1ig_3@talk	oh_hey_vin_dockworker	Loop	17	
18	WITNESS	s_m_y_dockwork_01	198.691f	1234.048f, -2909.682f, 21.328f	missheistdockssetup1ig_3@talk	oh_hey_vin_dockworker	Loop	18	
18	WITNESS	s_m_m_dockwork_01	261.453f	1237.406f, -2904.665f, 25.330f	missheistdockssetup1ig_3@talk	oh_hey_vin_dockworker	Loop	19	
18	WITNESS	s_m_y_dockwork_01	246.932f	1205.794f, -2907.271f, 5.877f	missheistdockssetup1ig_3@talk	oh_hey_vin_dockworker	Loop	20	
18	WITNESS	s_m_m_dockwork_01	120.470f	1168.521f, -2905.627f, 5.902f	missheistdockssetup1ig_3@talk	oh_hey_vin_dockworker	Loop	21	
18	WITNESS	s_m_y_dockwork_01	 89.332f	1109.213f, -2906.215f, 11.920f	missheistdockssetup1ig_3@talk	oh_hey_vin_dockworker	Loop	22	
18	WITNESS	s_m_m_dockwork_01	151.001f	1076.741f, -2866.708f, 11.260f	missheistdockssetup1ig_3@talk	oh_hey_vin_dockworker	Loop	23	
18	WITNESS	s_m_y_dockwork_01	84.083f	1023.377f, -2880.157f, 39.157f	missheistdockssetup1ig_3@talk	oh_hey_vin_dockworker	Loop	24	
19	COP	Model.Ped1	69.211f	200.255f, -44.686f, 68.622f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
19	MEDIC	Model.Ped2	79.750f	197.526f, -43.519f, 68.612f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
19	MEDIC	Model.Ped2	225.227f	197.130f, -42.182f, 68.619f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
19	CIVILIAN	a_m_m_malibu_01	151.146f	197.359f, -42.956f, 68.615f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
19	CIVILIAN	a_f_m_bevhills_01	117.156f	199.412f, -41.386f, 68.616f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
20	COP	Model.Ped1	316.511f	-1295.551f, -1133.740f, 5.950f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
20	MEDIC	Model.Ped2	353.372f	-1293.053f, -1132.944f, 6.047f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
20	MEDIC	Model.Ped2	167.718f	-1293.242f, -1131.550f, 6.123f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
20	CIVILIAN	a_m_m_malibu_01	38.648f	-1293.310f, -1132.346f, 6.080f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
20	CIVILIAN	a_f_m_bevhills_01	106.374f	-1290.537f, -1131.504f, 6.115f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
21	COP	Model.Ped1	186.626f	-1626.141f, -438.084f, 39.083f	amb@code_human_police_investigate@idle_a	idle_b	Loop	1	
21	MEDIC	Model.Ped2	23.920f	-1623.751f, -441.058f, 39.148f	amb@medic@standing@kneel@idle_a	idle_a	Loop	2	
21	MEDIC	Model.Ped2	131.585f	-1624.085f, -439.869f, 39.192f	amb@medic@standing@kneel@idle_a	idle_c	Loop	3	
21	CIVILIAN	a_m_m_malibu_01	57.561f	-1624.287f, -440.484f, 39.150f	missfbi5ig_0	lyinginpain_loop_steve	Loop	4	
21	CIVILIAN	a_f_m_bevhills_01	46.871f	-1622.699f, -442.870f, 39.035f	missmic_4premierejimwaitbef_prem	wait_idle_c	Loop	5	
